site_id,site_name,cpt_name,borehole_id,latitude,longitude,qc10_mpa,qc50_mpa,ic_median,theta_z_m,n_profile_points,data_source
Canterbury_00996,CPT-BUR-80TT.xls,CPT-BUR-80TT,CPT-BUR-80,-43.4943377,172.69852025,4.2924,8.8856,1.5658219190076386,0.5999999999999872,2100,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00997,CPT-BUR-81TT.xls,CPT-BUR-81TT,CPT-BUR-81,-43.49655742,172.69802275,1.8876,8.974,1.5859196850458588,0.5999999999999872,2249,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00998,CPT-BUR-82TT.xls,CPT-BUR-82TT,CPT-BUR-82,-43.49453948,172.69618973,1.0304,10.9882,1.6046994416161513,0.5999999999999872,2782,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00999,CPT-BUR-88TT.xls,CPT-BUR-88TT,CPT-BUR-88,-43.49843453,172.69010961,0.6782,4.9008,1.3886046334195692,0.5999999999999872,3303,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01000,CPT-BUR-92TT.xls,CPT-BUR-92TT,CPT-BUR-92,-43.49011892,172.69374273,6.0616,10.9906,1.4722954722997126,0.5999999999999872,2990,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01001,CPT-BUR-96TT.xls,CPT-BUR-96TT,CPT-BUR-96,-43.48654252,172.68540868,5.2303999999999995,11.365200000000002,1.1443001573182898,0.5999999999999872,1390,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01002,CPT-BUR-98TT.xls,CPT-BUR-98TT,CPT-BUR-98,-43.48060535,172.68875509,1.3808,8.576600000000001,1.4802921343692192,0.5999999999999872,2119,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01003,CPT-BUR-99TT.xls,CPT-BUR-99TT,CPT-BUR-99,-43.48833869,172.68588784,4.547,10.1294,1.4299221584875206,0.5999999999999872,2201,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01004,CPT-BYR-01TT.xls,CPT-BYR-01TT,CPT-BYR-01,-43.50363712,172.60336316,0.51724,4.1584,1.3981374291512654,0.6000000000000005,572,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01005,CPT-BYR-02TT.xls,CPT-BYR-02TT,CPT-BYR-02,-43.50741127,172.60265623,35.82,35.82,1.3355629062275307,,130,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01006,CPT-BYR-03TT.xls,CPT-BYR-03TT,CPT-BYR-03,-43.5072875,172.60542559,0.411,0.411,1.8200964037992255,0.18000000000000016,168,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_01007,CPT-BYR-04TT.xls,CPT-BYR-04TT,CPT-BYR-04,-43.5089189,172.60168751,3.7891999999999997,3.7891999999999997,1.258924673149462,0.2300000000000002,199,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
