scenario,gradation,year,layer,z_mid_m,gw_depth_m,fc_pct,pga_g,n160,n1_60cs,csr,pf_nonstationary,fs_deterministic_nonstationary,crr_benchmark_module,crr_bi14_spt_style,fs_bi14_spt_style,delta_fs_bi14_minus_benchmark,pf_bi14_spt_style_diagnostic,delta_pf_bi14_minus_benchmark,method_status
stationary,fines_washout,14,L4,12.5,3.2,26.88,0.28,24.0,31.573112678681778,0.25531164001555773,0.04275,1.9234196628931783,0.49107142857142855,0.5388245086733912,2.1104580607470824,0.18703839785390408,0.0035362791627043255,-0.03921372083729568,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,16,L4,12.5,3.2,26.72,0.28,24.0,31.529201799504275,0.25531164001555773,0.041916666666666665,1.9234196628931783,0.49107142857142855,0.535298207058759,2.0966463065535903,0.17322664366041196,0.003795602125421682,-0.03812106454124498,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,18,L4,12.5,3.2,26.56,0.28,24.0,31.48517027913958,0.25531164001555773,0.042583333333333334,1.9234196628931783,0.49107142857142855,0.5318002096409914,2.082945413724911,0.15952575083173248,0.004071419263147302,-0.03851191407018603,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,20,L4,12.5,3.2,26.4,0.28,24.0,31.441014532983754,0.25531164001555773,0.04575,1.9234196628931783,0.49107142857142855,0.5283300423196531,2.0693535253130593,0.14593386241988093,0.004364606782672642,-0.04138539321732736,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,22,L4,12.5,3.2,26.24,0.28,24.0,31.396730901172905,0.25531164001555773,0.042333333333333334,1.9234196628931783,0.49107142857142855,0.5248872375898291,2.0558688102032656,0.13244914731008728,0.004676077178319471,-0.03765725615501386,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,24,L4,12.5,3.2,26.08,0.28,24.0,31.35231564721747,0.25531164001555773,0.044583333333333336,1.9234196628931783,0.49107142857142855,0.5214713344547478,2.0424894627717376,0.11906979987855926,0.005006780215180029,-0.03957655311815331,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,26,L4,12.5,3.2,25.92,0.28,24.0,31.307764956635598,0.25531164001555773,0.044583333333333336,1.9234196628931783,0.49107142857142855,0.5180818783428569,2.0292137025608663,0.10579403966768797,0.005357703915026324,-0.03922562941830701,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,28,L4,12.5,3.2,25.759999999999998,0.28,24.0,31.263074935588158,0.25531164001555773,0.04375,1.9234196628931783,0.49107142857142855,0.5147184210294119,2.016039773972103,0.09262011107892465,0.005729875543352914,-0.038020124456647084,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,30,L4,12.5,3.2,25.6,0.28,24.0,31.218241609518117,0.25531164001555773,0.04641666666666667,1.9234196628931783,0.49107142857142855,0.5113805205626349,2.002965945976742,0.0795462830835636,0.006124362595874455,-0.04029230407079221,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,32,L4,12.5,3.2,25.44,0.28,24.0,31.173260921797247,0.25531164001555773,0.04691666666666667,1.9234196628931783,0.49107142857142855,0.5080677411945101,1.989990511844859,0.06657084895168075,0.006542273782644825,-0.040374392884021844,direct_spt_model_form_check_not_site_validation
