scenario,gradation,year,stationary,nonstationary,max_layer_pf,frechet_lower,frechet_upper,psys_independent_layers,delta
seasonal,constant,32,0.37314583333333334,0.36339583333333336,0.7368333333333333,0.7368333333333333,1.0,0.8941609939878076,-0.009749999999999981
seasonal,constant,34,0.37314583333333334,0.3783958333333333,0.7365,0.7365,1.0,0.9039940401949089,0.005249999999999977
seasonal,constant,36,0.37314583333333334,0.41375,0.7455833333333334,0.7455833333333334,1.0,0.9275555357966199,0.04060416666666666
seasonal,constant,38,0.37314583333333334,0.42754166666666665,0.7474166666666666,0.7474166666666666,1.0,0.9350057433070474,0.05439583333333331
seasonal,constant,40,0.37314583333333334,0.400125,0.7445833333333334,0.7445833333333334,1.0,0.9190504654128531,0.026979166666666665
seasonal,constant,42,0.37314583333333334,0.372375,0.741,0.741,1.0,0.9015529129742222,-0.0007708333333333317
seasonal,constant,44,0.37314583333333334,0.38414583333333335,0.7406666666666667,0.7406666666666667,1.0,0.9086277636614584,0.01100000000000001
seasonal,constant,46,0.37314583333333334,0.4220833333333333,0.74,0.74,1.0,0.9316347443399999,0.04893749999999997
seasonal,constant,48,0.37314583333333334,0.43672916666666667,0.7469166666666667,0.7469166666666667,1.0,0.9396454728735567,0.06358333333333333
seasonal,constant,50,0.37314583333333334,0.40760416666666666,0.7449166666666667,0.7449166666666667,1.0,0.9236184474056308,0.03445833333333331
seasonal,fines_accumulation,0,0.37370833333333336,0.3764791666666667,0.7405,0.7405,1.0,0.904188753885625,0.0027708333333333335
seasonal,fines_accumulation,2,0.37370833333333336,0.34597916666666667,0.7428333333333333,0.7428333333333333,1.0,0.8831046833366644,-0.027729166666666694
seasonal,fines_accumulation,4,0.37370833333333336,0.35216666666666663,0.7293333333333333,0.7293333333333333,1.0,0.8844927304893055,-0.021541666666666737
seasonal,fines_accumulation,6,0.37370833333333336,0.3876875,0.73675,0.73675,1.0,0.9097717268650001,0.013979166666666654
seasonal,fines_accumulation,8,0.37370833333333336,0.39620833333333333,0.7233333333333334,0.7233333333333334,1.0,0.9129786750245641,0.022499999999999964
seasonal,fines_accumulation,10,0.37370833333333336,0.3606666666666667,0.7185833333333334,0.7185833333333334,1.0,0.8875649515539568,-0.013041666666666674
seasonal,fines_accumulation,12,0.37370833333333336,0.34118750000000003,0.7245,0.7245,1.0,0.8744671070386112,-0.03252083333333333
seasonal,fines_accumulation,14,0.37370833333333336,0.34558333333333335,0.70925,0.70925,1.0,0.8741444103879329,-0.02812500000000001
seasonal,fines_accumulation,16,0.37370833333333336,0.37497916666666664,0.713,0.713,1.0,0.8974200278045741,0.0012708333333332766
seasonal,fines_accumulation,18,0.37370833333333336,0.38629166666666664,0.70975,0.70975,1.0,0.9046303548753907,0.01258333333333328
seasonal,fines_accumulation,20,0.37370833333333336,0.35675,0.69925,0.69925,1.0,0.8807780172389583,-0.016958333333333353
seasonal,fines_accumulation,22,0.37370833333333336,0.32925000000000004,0.69825,0.69825,1.0,0.8577548261781599,-0.04445833333333332
seasonal,fines_accumulation,24,0.37370833333333336,0.33895833333333336,0.6950833333333334,0.6950833333333334,1.0,0.8654725650953408,-0.03475
seasonal,fines_accumulation,26,0.37370833333333336,0.3697916666666667,0.6864166666666667,0.6864166666666667,1.0,0.8881151611054977,-0.003916666666666679
seasonal,fines_accumulation,28,0.37370833333333336,0.3765833333333333,0.6818333333333333,0.6818333333333333,1.0,0.8932657452474739,0.002874999999999961
seasonal,fines_accumulation,30,0.37370833333333336,0.34850000000000003,0.675,0.675,1.0,0.8690710148372396,-0.025208333333333333
seasonal,fines_accumulation,32,0.37370833333333336,0.3179375,0.6651666666666667,0.6651666666666667,1.0,0.8392472179743082,-0.05577083333333338
seasonal,fines_accumulation,34,0.37370833333333336,0.32779166666666665,0.669,0.669,1.0,0.8495988702555556,-0.04591666666666672
