holdout_family,site_id,site_family,model_name,pf,observed_liquefaction,validation_protocol,holdout_family_pair,validation_split,wtd_event_site_adjusted_m,qc10_mpa,ic_median,theta_z_m,year,layer_id,csr,crr,fs,beta_equivalent,critical_layer_rank,notes
SODO,SODO_04,SODO,M0_static_stationary,0.7903884019311108,1,leave-one-site-family-out spatial validation,,,0.779306806850911,1.6772967532000003,1.1903000788538174,0.5819327731092436,2001,site_screening_profile,,,,-0.8077696562125147,,spatial cross-fitted site-calibrated probability
SODO,SODO_01,SODO,M1_nonstationary_groundwater_only,0.9877477694605447,1,leave-one-site-family-out spatial validation,,,2.836706806850911,0.47215432,1.2784384036251877,0.9138655462184874,2001,site_screening_profile,,,,-2.2491263100878904,,spatial cross-fitted site-calibrated probability
SODO,SODO_02,SODO,M1_nonstationary_groundwater_only,0.8161698077455946,1,leave-one-site-family-out spatial validation,,,1.9223068068509113,3.3281883740000002,1.3085117789780403,1.245798319327731,2001,site_screening_profile,,,,-0.9008644694858061,,spatial cross-fitted site-calibrated probability
SODO,SODO_03,SODO,M1_nonstationary_groundwater_only,0.8039414524383619,1,leave-one-site-family-out spatial validation,,,2.5319068068509116,1.216414808,1.4330957770653538,0.7478991596638656,2001,site_screening_profile,,,,-0.8557843105201418,,spatial cross-fitted site-calibrated probability
SODO,SODO_04,SODO,M1_nonstationary_groundwater_only,0.7890527037277095,1,leave-one-site-family-out spatial validation,,,0.779306806850911,1.6772967532000003,1.1903000788538174,0.5819327731092436,2001,site_screening_profile,,,,-0.8031386637359326,,spatial cross-fitted site-calibrated probability
SODO,SODO_01,SODO,M2_nonstationary_groundwater_gradation,0.8701829749184723,1,leave-one-site-family-out spatial validation,,,2.836706806850911,0.47215432,1.2784384036251877,0.9138655462184874,2001,site_screening_profile,,,,-1.1272564959249944,,spatial cross-fitted site-calibrated probability
SODO,SODO_02,SODO,M2_nonstationary_groundwater_gradation,0.9887865642137048,1,leave-one-site-family-out spatial validation,,,1.9223068068509113,3.3281883740000002,1.3085117789780403,1.245798319327731,2001,site_screening_profile,,,,-2.283059367589922,,spatial cross-fitted site-calibrated probability
SODO,SODO_03,SODO,M2_nonstationary_groundwater_gradation,0.4591827434671663,1,leave-one-site-family-out spatial validation,,,2.5319068068509116,1.216414808,1.4330957770653538,0.7478991596638656,2001,site_screening_profile,,,,0.10249285113746442,,spatial cross-fitted site-calibrated probability
SODO,SODO_04,SODO,M2_nonstationary_groundwater_gradation,0.9243178210827839,1,leave-one-site-family-out spatial validation,,,0.779306806850911,1.6772967532000003,1.1903000788538174,0.5819327731092436,2001,site_screening_profile,,,,-1.434728926830079,,spatial cross-fitted site-calibrated probability
SODO,SODO_01,SODO,M3_full_nonstationary_random_field,0.8696688970526614,1,leave-one-site-family-out spatial validation,,,2.836706806850911,0.47215432,1.2784384036251877,0.9138655462184874,2001,site_screening_profile,,,,-1.1248273417182515,,spatial cross-fitted site-calibrated probability
SODO,SODO_02,SODO,M3_full_nonstationary_random_field,0.9405230812594405,1,leave-one-site-family-out spatial validation,,,1.9223068068509113,3.3281883740000002,1.3085117789780403,1.245798319327731,2001,site_screening_profile,,,,-1.5591797702780772,,spatial cross-fitted site-calibrated probability
SODO,SODO_03,SODO,M3_full_nonstationary_random_field,0.4833105677261138,1,leave-one-site-family-out spatial validation,,,2.5319068068509116,1.216414808,1.4330957770653538,0.7478991596638656,2001,site_screening_profile,,,,0.04184641264867732,,spatial cross-fitted site-calibrated probability
SODO,SODO_04,SODO,M3_full_nonstationary_random_field,0.9387352200025537,1,leave-one-site-family-out spatial validation,,,0.779306806850911,1.6772967532000003,1.1903000788538174,0.5819327731092436,2001,site_screening_profile,,,,-1.5442426506827094,,spatial cross-fitted site-calibrated probability
Smith Cove,Smith_Cove_01,Smith Cove,M0_static_stationary,0.011803021578957035,0,leave-one-site-family-out spatial validation,,,2.5319068068509116,0.92479088,1.121728561927329,0.9138655462184874,2001,site_screening_profile,,,,2.2634811850278655,,spatial cross-fitted site-calibrated probability
Smith Cove,Smith_Cove_02,Smith Cove,M0_static_stationary,0.012884105741155527,0,leave-one-site-family-out spatial validation,,,3.4463068068509113,0.800243858,1.70580188800754,0.7478991596638656,2001,site_screening_profile,,,,2.2296872715840848,,spatial cross-fitted site-calibrated probability
Smith Cove,Smith_Cove_01,Smith Cove,M1_nonstationary_groundwater_only,0.011986379414283427,0,leave-one-site-family-out spatial validation,,,2.5319068068509116,0.92479088,1.121728561927329,0.9138655462184874,2001,site_screening_profile,,,,2.2575655442043407,,spatial cross-fitted site-calibrated probability
Smith Cove,Smith_Cove_02,Smith Cove,M1_nonstationary_groundwater_only,0.011841473344882747,0,leave-one-site-family-out spatial validation,,,3.4463068068509113,0.800243858,1.70580188800754,0.7478991596638656,2001,site_screening_profile,,,,2.2622340487975925,,spatial cross-fitted site-calibrated probability
Smith Cove,Smith_Cove_01,Smith Cove,M2_nonstationary_groundwater_gradation,0.08758805664166765,0,leave-one-site-family-out spatial validation,,,2.5319068068509116,0.92479088,1.121728561927329,0.9138655462184874,2001,site_screening_profile,,,,1.3557582052270876,,spatial cross-fitted site-calibrated probability
Smith Cove,Smith_Cove_02,Smith Cove,M2_nonstationary_groundwater_gradation,0.0009844962006839535,0,leave-one-site-family-out spatial validation,,,3.4463068068509113,0.800243858,1.70580188800754,0.7478991596638656,2001,site_screening_profile,,,,3.0948699055697517,,spatial cross-fitted site-calibrated probability
Smith Cove,Smith_Cove_01,Smith Cove,M3_full_nonstationary_random_field,0.03185536088275755,0,leave-one-site-family-out spatial validation,,,2.5319068068509116,0.92479088,1.121728561927329,0.9138655462184874,2001,site_screening_profile,,,,1.8541988136506697,,spatial cross-fitted site-calibrated probability
Smith Cove,Smith_Cove_02,Smith Cove,M3_full_nonstationary_random_field,0.0009174310303579321,0,leave-one-site-family-out spatial validation,,,3.4463068068509113,0.800243858,1.70580188800754,0.7478991596638656,2001,site_screening_profile,,,,3.1157364086305614,,spatial cross-fitted site-calibrated probability
UW,UW_01,UW,M0_static_stationary,0.01634012964599068,0,leave-one-site-family-out spatial validation,,,0.5507068068509109,0.7959499179999999,1.5380189688870525,0.25,2001,site_screening_profile,,,,2.1359896273843555,,spatial cross-fitted site-calibrated probability
UW,UW_02,UW,M0_static_stationary,0.01634012964599068,0,leave-one-site-family-out spatial validation,,,0.5507068068509109,1.719556334,1.5967717826547696,0.4159663865546218,2001,site_screening_profile,,,,2.1359896273843555,,spatial cross-fitted site-calibrated probability
UW,UW_03,UW,M0_static_stationary,0.013788874830583083,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,1.1952670170000002,1.6888814994498453,0.4159663865546218,2001,site_screening_profile,,,,2.203241245470166,,spatial cross-fitted site-calibrated probability
UW,UW_04,UW,M0_static_stationary,0.012664783029647126,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,0.6443501810000001,1.9662055309267457,0.5819327731092436,2001,site_screening_profile,,,,2.2363391153865613,,spatial cross-fitted site-calibrated probability
UW,UW_01,UW,M1_nonstationary_groundwater_only,0.023615985644992652,0,leave-one-site-family-out spatial validation,,,0.5507068068509109,0.7959499179999999,1.5380189688870525,0.25,2001,site_screening_profile,,,,1.984214154415994,,spatial cross-fitted site-calibrated probability
UW,UW_02,UW,M1_nonstationary_groundwater_only,0.023615985644992652,0,leave-one-site-family-out spatial validation,,,0.5507068068509109,1.719556334,1.5967717826547696,0.4159663865546218,2001,site_screening_profile,,,,1.984214154415994,,spatial cross-fitted site-calibrated probability
UW,UW_03,UW,M1_nonstationary_groundwater_only,0.015446662063529152,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,1.1952670170000002,1.6888814994498453,0.4159663865546218,2001,site_screening_profile,,,,2.158444048649588,,spatial cross-fitted site-calibrated probability
UW,UW_04,UW,M1_nonstationary_groundwater_only,0.014213127577696116,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,0.6443501810000001,1.9662055309267457,0.5819327731092436,2001,site_screening_profile,,,,2.1913530319480694,,spatial cross-fitted site-calibrated probability
UW,UW_01,UW,M2_nonstationary_groundwater_gradation,0.0025870101021910554,0,leave-one-site-family-out spatial validation,,,0.5507068068509109,0.7959499179999999,1.5380189688870525,0.25,2001,site_screening_profile,,,,2.7959949927936085,,spatial cross-fitted site-calibrated probability
UW,UW_02,UW,M2_nonstationary_groundwater_gradation,0.00869663911744471,0,leave-one-site-family-out spatial validation,,,0.5507068068509109,1.719556334,1.5967717826547696,0.4159663865546218,2001,site_screening_profile,,,,2.37828708843842,,spatial cross-fitted site-calibrated probability
UW,UW_03,UW,M2_nonstationary_groundwater_gradation,0.0017422416022844312,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,1.1952670170000002,1.6888814994498453,0.4159663865546218,2001,site_screening_profile,,,,2.921412337056803,,spatial cross-fitted site-calibrated probability
UW,UW_04,UW,M2_nonstationary_groundwater_gradation,9.270325102827382e-05,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,0.6443501810000001,1.9662055309267457,0.5819327731092436,2001,site_screening_profile,,,,3.738113154539987,,spatial cross-fitted site-calibrated probability
UW,UW_01,UW,M3_full_nonstationary_random_field,0.014238378741060093,0,leave-one-site-family-out spatial validation,,,0.5507068068509109,0.7959499179999999,1.5380189688870525,0.25,2001,site_screening_profile,,,,2.190655142895183,,spatial cross-fitted site-calibrated probability
UW,UW_02,UW,M3_full_nonstationary_random_field,0.025356975762828003,0,leave-one-site-family-out spatial validation,,,0.5507068068509109,1.719556334,1.5967717826547696,0.4159663865546218,2001,site_screening_profile,,,,1.9538923326680784,,spatial cross-fitted site-calibrated probability
UW,UW_03,UW,M3_full_nonstationary_random_field,0.005158306194642245,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,1.1952670170000002,1.6888814994498453,0.4159663865546218,2001,site_screening_profile,,,,2.5650325584995404,,spatial cross-fitted site-calibrated probability
UW,UW_04,UW,M3_full_nonstationary_random_field,0.0002714852280507916,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,0.6443501810000001,1.9662055309267457,0.5819327731092436,2001,site_screening_profile,,,,3.4586100229031844,,spatial cross-fitted site-calibrated probability
