site_id,event_key,pga_g,wtd_event_site_adjusted_m,manifestation_code,observed_liquefaction,severe_manifestation,critical_layer_depth_m,critical_layer_qc_mpa,critical_layer_saturated,critical_crossing_margin_m
Canterbury_02262,Yr2010,0.209,1.77956283092498,0,0,0,1.185,1.7389000000000001,0,-0.59456283092498
Canterbury_02262,Yr2011,0.335,1.73182845115661,4,1,1,1.185,1.7389000000000001,0,-0.5468284511566099
Canterbury_02262,Yr2016,0.105391636,1.4228706177234591,0,0,0,1.185,1.7389000000000001,0,-0.23787061772345908
Canterbury_02263,Yr2010,0.209,1.91118454933166,0,0,0,4.35,3.26033,1,2.43881545066834
Canterbury_02263,Yr2011,0.34,1.86040079593658,0,0,0,4.35,3.26033,1,2.4895992040634196
Canterbury_02263,Yr2016,0.106287114,1.5444229124784428,0,0,0,4.35,3.26033,1,2.8055770875215567
Canterbury_02264,Yr2010,0.211,1.89225351810455,0,0,0,0.75,1.4569100000000001,0,-1.14225351810455
Canterbury_02264,Yr2011,0.324,1.94424200057983,1,1,0,0.75,1.4569100000000001,0,-1.19424200057983
Canterbury_02264,Yr2016,0.099940419,1.6236863873481713,0,0,0,0.75,1.4569100000000001,0,-0.8736863873481713
Canterbury_02265,Yr2010,0.212,1.68698000907898,0,0,0,1.31,1.35479,0,-0.3769800090789799
Canterbury_02265,Yr2011,0.32,1.71860897541046,4,1,1,1.31,1.35479,0,-0.40860897541046004
Canterbury_02265,Yr2016,0.099085592,1.410372925353049,0,0,0,1.31,1.35479,0,-0.10037292535304898
Canterbury_02266,Yr2010,0.21,1.55660724639892,0,0,0,2.1,24.424139999999998,1,0.5433927536010801
Canterbury_02266,Yr2011,0.329,1.58355557918548,4,1,1,2.1,24.424139999999998,1,0.51644442081452
Canterbury_02266,Yr2016,0.102977082,1.282693444561953,0,0,0,2.1,24.424139999999998,1,0.8173065554380472
Canterbury_02267,Yr2010,0.212,1.54929172992706,0,0,0,1.58,5.37256,1,0.03070827007293997
Canterbury_02267,Yr2011,0.318,1.65382373332977,4,1,1,1.58,5.37256,0,-0.07382373332976999
Canterbury_02267,Yr2016,0.099907964,1.3491249574899646,0,0,0,1.58,5.37256,1,0.23087504251003543
Canterbury_02268,Yr2010,0.198,2.06548404693603,1,1,0,4.9,1.0057,1,2.8345159530639705
Canterbury_02268,Yr2011,0.387,2.04531145095825,0,0,0,4.9,1.0057,1,2.85468854904175
Canterbury_02268,Yr2016,0.107269138,1.7192374457359298,0,0,0,4.9,1.0057,1,3.1807625542640707
Canterbury_02269,Yr2010,0.199,1.64736711978912,1,1,0,5.09,0.91403,1,3.44263288021088
Canterbury_02269,Yr2011,0.386,1.58595705032348,2,1,0,5.09,0.91403,1,3.5040429496765197
Canterbury_02269,Yr2016,0.107319124,1.2849637953758182,0,0,0,5.09,0.91403,1,3.805036204624182
Canterbury_02270,Yr2010,0.201,1.57862496376037,0,0,0,4.09,0.6948000000000001,1,2.51137503623963
Canterbury_02270,Yr2011,0.377,1.55630600452423,1,1,0,4.09,0.6948000000000001,1,2.53369399547577
Canterbury_02270,Yr2016,0.106354378,1.2569316966772073,0,0,0,4.09,0.6948000000000001,1,2.8330683033227926
Canterbury_02271,Yr2010,0.2,1.76369190216064,1,1,0,0.795,43.30896,0,-0.96869190216064
Canterbury_02271,Yr2011,0.379,1.71660912036895,4,1,1,0.795,43.30896,0,-0.9216091203689499
Canterbury_02271,Yr2016,0.105820194,1.4084822623968054,0,0,0,0.795,43.30896,0,-0.6134822623968054
Canterbury_02272,Yr2010,0.201,1.27558875083923,1,1,0,4.77,0.6178999999999999,1,3.4944112491607697
